Name,Path,Position,Is Active,Url Key,Include In Menu,Display Mode,Is Anchor,Page Layout
标准中文,Default Category/中文教程 Chinese Textbooks,1,Yes,StandardChinese,Yes,Products only,Yes,No layout updates
快乐汉语,Default Category/中文教程 Chinese Textbooks,2,Yes,HappyChinese,Yes,Products only,Yes,No layout updates
其他中文教程,Default Category/中文教程 Chinese Textbooks,3,Yes,OtherTextbooks,Yes,Products only,Yes,No layout updates
你好 Ni Hao,Default Category/中文教程 Chinese Textbooks,4,Yes,NiHao,Yes,Products only,Yes,No layout updates
新实用汉语课本,Default Category/中文教程 Chinese Textbooks,5,Yes,PracticalChinese,Yes,Products only,Yes,No layout updates
轻松学汉语,Default Category/中文教程 Chinese Textbooks,6,Yes,EasyChinese,Yes,Products only,Yes,No layout updates
跟我学汉语,Default Category/中文教程 Chinese Textbooks,7,Yes,LearnChineseWithMe,Yes,Products only,Yes,No layout updates
当代中文,Default Category/中文教程 Chinese Textbooks,8,Yes,ModernChinese,Yes,Products only,Yes,No layout updates
字画 Calligraphy Painting,Default Category/书法字画 Calligraphy,1,Yes,CalligraphyPainting,Yes,Products only,Yes,No layout updates
书法 Writing,Default Category/书法字画 Calligraphy,2,Yes,Writing,Yes,Products only,Yes,No layout updates
练习本 Exercise Books,Default Category/儿童 Children,1,Yes,ExcerciseBooks,Yes,Products only,Yes,No layout updates
儿童音像 Children's DVD,Default Category/儿童 Children,2,Yes,ChildrensDVD2,Yes,Products only,Yes,No layout updates
发展提高 Development,Default Category/儿童 Children,3,Yes,Development,Yes,Products only,Yes,No layout updates
学习 Learning,Default Category/儿童 Children,4,Yes,Learning,Yes,Products only,Yes,No layout updates
手工游戏 Activity Books,Default Category/儿童 Children,5,Yes,ActivityBooks,Yes,Products only,Yes,No layout updates
故事 Story Books,Default Category/儿童 Children,6,Yes,ChildrenStoryBooks,Yes,Products only,Yes,No layout updates
双语读物 Bilingual Readers,Default Category/儿童 Children,7,Yes,BilingualReaders,Yes,Products only,Yes,No layout updates
医书 Medical,Default Category/医学保健 Medical & Health,1,Yes,MedicalBooks,Yes,Products only,Yes,No layout updates
药膳 Healing Food,Default Category/医学保健 Medical & Health,2,Yes,HealingFood,Yes,Products only,Yes,No layout updates
按摩 Massage,Default Category/医学保健 Medical & Health,3,Yes,Massage,Yes,Products only,Yes,No layout updates
中医 TCM,Default Category/医学保健 Medical & Health,4,Yes,TCM,Yes,Products only,Yes,No layout updates
孕产妇幼儿 Pregnancy & Infants,Default Category/医学保健 Medical & Health,5,Yes,PregnancyandInfants,Yes,Products only,Yes,No layout updates
英文中医 TCM in English,Default Category/医学保健 Medical & Health,6,Yes,TCMinEnglish,Yes,Products only,Yes,No layout updates
保健 Health,Default Category/医学保健 Medical & Health,7,Yes,HealthBooks,Yes,Products only,Yes,No layout updates
美容健身  Beauty & Fitness,Default Category/家庭生活 Home & Lifestyle,1,Yes,BeautyandFitness,Yes,Products only,Yes,No layout updates
植物栽培 Flowers & Plants,Default Category/家庭生活 Home & Lifestyle,1,Yes,FlowersandPlants,Yes,Products only,Yes,No layout updates
DIY & 休闲 Leisure,Default Category/家庭生活 Home & Lifestyle,2,Yes,DIYandLeisure,Yes,Products only,Yes,No layout updates
宠物 Pets,Default Category/家庭生活 Home & Lifestyle,3,Yes,Pets,Yes,Products only,Yes,No layout updates
两性关系,Default Category/家庭生活 Home & Lifestyle,4,Yes,SexualRelationship,Yes,Products only,Yes,No layout updates
收藏 Collectables,Default Category/家庭生活 Home & Lifestyle,5,Yes,Collectables,Yes,Products only,Yes,No layout updates
菜谱饮料 Food & Drinks,Default Category/家庭生活 Home & Lifestyle,7,Yes,FoodandDrinks,Yes,Products only,Yes,No layout updates
小说 Novel,Default Category/小说 Fiction,1,Yes,Novel,Yes,Products only,Yes,No layout updates
武侠 Wuxia,Default Category/小说 Fiction,2,Yes,Wuxia,Yes,Products only,Yes,No layout updates
社会 Society,Default Category/小说 Fiction,3,Yes,Society,Yes,Products only,Yes,No layout updates
官场 Officialdom,Default Category/小说 Fiction,4,Yes,Officialdom,Yes,Products only,Yes,No layout updates
恐怖 Horror,Default Category/小说 Fiction,5,Yes,Horror,Yes,Products only,Yes,No layout updates
情感 Romance & R-Ships,Default Category/小说 Fiction,6,Yes,RomanceandRelation,Yes,Products only,Yes,No layout updates
都市 City Life,Default Category/小说 Fiction,7,Yes,CityLife,Yes,Products only,Yes,No layout updates
历史小说 History Novel,Default Category/小说 Fiction,8,Yes,HistoryNovel,Yes,Products only,Yes,No layout updates
侦探 悬疑 推理 Mystery,Default Category/小说 Fiction,9,Yes,Mystery,Yes,Products only,Yes,No layout updates
军事 Millitary,Default Category/小说 Fiction,10,Yes,Military,Yes,Products only,Yes,No layout updates
中学小学 Chinese Learning,Default Category/工具书 Dictionary,1,Yes,ChineseLearning,Yes,Products only,Yes,No layout updates
汉英字典 Chinese-English,Default Category/工具书 Dictionary,2,Yes,Chinese2English,Yes,Products only,Yes,No layout updates
其他语言 Other Languages,Default Category/工具书 Dictionary,3,Yes,OtherLanguage,Yes,Products only,Yes,No layout updates
医学字典 Medical,Default Category/工具书 Dictionary,4,Yes,MedicalDict,Yes,Products only,Yes,No layout updates
专业字典 Professionally Used,Default Category/工具书 Dictionary,5,Yes,ProfessionalDict,Yes,Products only,Yes,No layout updates
英语字典 English Dictionary,Default Category/工具书 Dictionary,6,Yes,EnglishDictionary,Yes,Products only,Yes,No layout updates
英汉汉英 Eng-Chi Chi-Eng,Default Category/工具书 Dictionary,7,Yes,Eng2ChiandChi2Eng,Yes,Products only,Yes,No layout updates
汉语字典 Chinese Dictionary,Default Category/工具书 Dictionary,8,Yes,ChineseDictionary,Yes,Products only,Yes,No layout updates
经济法律 Commerce & Law,Default Category/工具书 Dictionary,9,Yes,CommerceandLawDict,Yes,Products only,Yes,No layout updates
古籍 Classical Literature,Default Category/文学 Literature,1,Yes,ClassicalLiterature,Yes,Products only,Yes,No layout updates
文学综合 Literature,Default Category/文学 Literature,2,Yes,MiscLiterature,Yes,Products only,Yes,No layout updates
青春文学 Youth Fiction,Default Category/文学 Literature,3,Yes,YouthFiction,Yes,Products only,Yes,No layout updates
纪实文学 Documentary,Default Category/文学 Literature,4,Yes,DocumentaryDVD,Yes,Products only,Yes,No layout updates
翻译文学 Translations,Default Category/文学 Literature,5,Yes,Translations,Yes,Products only,Yes,No layout updates
3月到货杂志,Default Category/杂志 Magazines,1,Yes,MarchMagazines,Yes,Products only,Yes,No layout updates
